"k,""Rayyan.ID"",""Title"",""Year"",""Species..Latin."",""Species..English."",""Genetic.line..if.applicable."",""Order"",""Family"",""Recording.location"",""Group.context"",""Juveniles.present."",""Number.of.animals"",""Number.of.vocalizations..total.recorded."",""Number.of.vocalizations..included.in.analysis."",""Call.classification"",""Full.repertoire.analysed."",""Repertoire.size..hand..total."",""Repertoire.size..hand..juvenile....indicate.how.many.calls.of.total.repertoire.are.juvenile."",""Repertoire.size..automated."",""Graded.vs.discrete..do.authors.mention.reportoire.is.graded.."",""Data.availability"",""Notes"",""Preselected.non.noisy.calls"",""Spectrogram.type"",""FFT.size"",""Window.type"",""Overlap...."",""Bandpass.filtered"",""High.pass.freq.threshold"",""Low.pass.freq.threshold"",""Notes..preprocess."",""Package"",""Number.of.features"",""Multi.unit.calls."",""Characteristics.general"",""Syllables.units"",""Repeated.measurements.at.multiple.locations.in.call."",""PRAAT.measures"",""AvisoftSAS.Lab.Pro.measurements"",""Raven.Pro.measurements"",""warblR.measurements"",""Custom.features"",""Custom.measurement.of."",""Notes.call.features"",""Language"",""analysis_methods"",""Analysis.based.on."",""Notes.analysis"",""Open.access"",""License"",""Done."",""key"",""title"",""year"",""month"",""day"",""journal"",""issn"",""volume"",""issue"",""pages"",""authors"",""url"",""language"",""publisher"",""location"",""notes"",""doi"",""keywords"",""pubmed_id"",""pmc_id"",""PDF.files"",""n_animals"",""n_recs_analysed"",""juvenile"",""rep_size""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13/10/2025 13:33:36,""rayyan-305067312"",""A novel theory of Asian elephant high-frequency squeak production."",2021,""Elephas maximus"",""Asian elephant"","""",""Proboscidea"",""Elephantidae"",""zoo"",""group"",""Yes"",""56"",NA,""213"",""Automated"",""No"","""",NA,"""",""Yes"",""Upon request"",""Number of classes the same as number of individuals"","""","""","""","""","""","""",NA,NA,""nothing reported"",""STx, Praat, MATLAB"",""22"",""No"",""duration"","""",""Each 3rd"",""mean F0, max F0, min F0, range F0, Q50, start f0, end f0, middle f0"","""","""","""",""max F0/mean F0"; mean F0/min F0; time max F0; time min F0; F0 slope (each third); time min F0 to max F0; jitter; Frequency variability index; Inflections;" Coefficient of Frequency Modulatio"",""F0"","""",""R"",""K-means clustering"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067312"",""A novel theory of Asian elephant high-frequency squeak production."",2021,6,17,""bmc biology"",""1741-7007 (Electronic)"",19,1,""121"",""Beeck VC and Heilmann G and Kerscher M and Stoeger AS"",""https://pubmed.ncbi.nlm.nih.gov/34134675/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1186/s12915-021-01026-z"",""Acoustics";Animals;*Elephants;"Vocalization, Animal"",""34134675"",""PMC8210382"",NA,56,213,0,NA";;;;;;;;;;;;;;;;
"14/10/2025 21:50:01,""rayyan-305067419"",""Acoustic Structure and Contextual Use of Calls by Captive Male and Female Cheetahs (Acinonyx jubatus)."",2016,""Acinonyx jubatus"",""cheetah"","""",""Carnivora"",""Felidae"",""zoo"",""group"",""Unknown"",""13"",NA,""8120"",""Hand"",""Yes"",""7"",NA,"""",""No"",""Yes, preprocessed"","""",""yes"","""",""1024"",""Hamming"",""93.75"",""No"",NA,NA,"""",""Avisoft-SASLab Pro"",""10"",""Some"",""duration"",""number of units"","""","""",""peak frequency, Q25, Q50, Q75"","""","""",""F0 start"; F0 end; F0 min;" F0 max"",""F0"","""",""STATISTICA, R"",""DFA"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067419"",""Acoustic Structure and Contextual Use of Calls by Captive Male and Female Cheetahs (Acinonyx jubatus)."",2016,NA,NA,""plos one"",""1932-6203 (Electronic)"",11,6,""e0158546"",""Smirnova DS and Volodin IA and Demina TS and Volodina EV"",""https://pubmed.ncbi.nlm.nih.gov/27362643/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0158546"",""Acinonyx/*physiology";Aggression/physiology;Animals;Animals, Zoo;Behavior, Animal/*physiology;Female;*Individuality;Male;Sexual Behavior, Animal/physiology;"Vocalization, Animal/*physiology"",""27362643"",""PMC4928801"",NA,13,8120,0,7";;;;;;;;;;;;;;;;
"05/11/2025 23:06:27,""rayyan-305067748"",""Improving the workflow to crack Small, Unbalanced, Noisy, but Genuine (SUNG) datasets in bioacoustics: The case of bonobo calls."",2023,""Pan paniscus"",""bonobo"","""",""Primates"",""Hominidae"",""zoo"",""group"",""No"",""20"",NA,""1971"",""Hand"",""No"",""10"",NA,"""",""Yes"",""Yes, preprocessed"","""",""no"","""",""512"",""Hamming"",""50"",""No"",NA,NA,"""",""Praat";" voicebox toolbox in Matlab"",""217"","""","""","""","""",""max F0, Q25, Q50, Q75, q1t, q2t, q3t, t.max, f0.sta, f0.mid, f0.end, f0.av, f0.max, tf0.max, f0.slope.asc, f0.slope.desc, f0.slope.1st.half, f0.slope.2nd.half, f0.onset, f0.offset"","""","""","""",""Discrete Cosine Transform of F0 (7)";" MFCC set (192) "",""F0"","""",""R"",""DFA, UMAP, SVM"; xgboost;" NN"",""features"",""Supervised UMAP"",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067748"",""Improving the workflow to crack Small, Unbalanced, Noisy, but Genuine (SUNG) datasets in bioacoustics: The case of bonobo calls."",2016,4,NA,""plos computational biology"",""1553-7358 (Electronic)"",19,4,""e1010325"",""Arnaud V and Pellegrino F and Keenan S and St-Gelais X and Mathevon N and Levréro F and Coupé C"",""https://pubmed.ncbi.nlm.nih.gov/37053268/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pcbi.1010325"",""Animals";*Pan paniscus;Workflow;Reproducibility of Results;*Algorithms;"Neural Networks, Computer"",""37053268"",""PMC10129004"",NA,20,1971,0,10";;;;;;;;;;;;;;;;;;;
"21/10/2025 21:06:55,""rayyan-305067789"",""Acoustic and behavioral repertoires of the hippopotamus (Hippopotamus amphibius)."",2015,""Hippopotamus amphibius"",""hippopotamus"","""",""Artiodactyla"",""Hippopotamidae"",""zoo"",""group"",""No"",""16"",1452,""1127"",""Hand"","""",""10"",NA,"""",""Yes"",""No"",""3 classes, 10 total types"",""yes"","""",""2048"",""Hanning/Hann"",""90"","""",NA,NA,"""",""Raven"",""7"",""Some"",""duration"",""inter unit interval"","""","""","""","""","""",""min freq"; max freq; bandwidth; peak freq;" F0"",""F0, peak frequency"","""",""SPSS"",""DFA, PCA"",""features"","""",""No"","""",""x"",""rayyan-305067789"",""Acoustic and behavioral repertoires of the hippopotamus (Hippopotamus amphibius)."",2015,8,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",138,2,""545-54"",""Maust-Mohl M and Soltis J and Reiss D"",""https://pubmed.ncbi.nlm.nih.gov/26328671/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.4923363"",""Air";Animals;Animals, Zoo/*physiology/psychology;Artiodactyla/*physiology/psychology;*Behavior, Animal;Feeding Behavior;Female;Housing, Animal;Longitudinal Studies;Male;Social Behavior;Social Dominance;Video Recording;*Vocalization, Animal;"Water"",""26328671"","""",NA,16,1127,0,10";;;;;;;;;;
"03/01/2026 22:45:02,""rayyan-380414576"",""The vocal repertoire of Barbary macaques: a quantitative analysis of a graded signal system"",1998,""Macaca sylvanus"",""Barbary macaque"","""",""Primates"",""Cercopithecidae"",""zoo"",""group"",""Yes"",""92"",NA,""8479"",""Automated"",""Yes"","""",NA,"""",""Yes"",""No"",""no clear cluster solution"","""","""",""1024"","""","""","""",NA,NA,"""",""LMA"",""35"","""",""duration"","""","""","""","""","""","""",""start freq"; end freq; min freq; max freq; central freq; start to max slope; max to end slope; time to max; mean modulation of central freq; start PF; end PF; min PF; max PF; time to max PF; duration of amplitude gaps; % tonal; % noisy;" loc of max difference in call consistency"",""peak frequency"","""",""SPSS"",""DFA, K-means clustering"",""features"","""",""No"","""",""x"",""rayyan-380414576"",""The vocal repertoire of Barbary macaques: a quantitative analysis of a graded signal system"",1998,NA,NA,""ethology"",""0179-1613"",104,3,""203-216"",""Hammerschmidt, Kurt and Fischer, Julia"","""","""",NA,"""","""","""","""","""","""",NA,92,8479,0,NA";;;;;;;;;;;
"24/12/2025 17:43:50,""rayyan-380414596"",""Quantifying acoustic and temporal characteristics of vocalizations for a group of captive African elephants Loxodonta africana"",2003,""Loxodonta africana"",""African elephant"","""",""Proboscidea"",""Elephantidae"",""zoo"",""group"",""No"",""8"",NA,""983"",""Hand"",""Yes"",""8"",NA,"""",""No"",""No"","""","""","""","""","""","""","""",NA,NA,"""",""SIGNAL Digital Signal Analysis Language"",""5"",""No"",""duration"","""","""","""","""","""","""",""mean F0"; F0 bandwidth; max F0; min F0; time to max F0;" time to min F0"",""F0"",""rumbles only"",""SYSTAT"",""multi-dimensional scaling"",""features"",""based on fundamental frequency contour"",""No"","""",""x"",""rayyan-380414596"",""QUANTIFYING ACOUSTIC AND TEMPORAL CHARACTERISTICS OF VOCALIZATIONS FOR A GROUP OF CAPTIVE AFRICAN ELEPHANTS LOXODONTA AFRICANA"",2003,1,1,""bioacoustics"",""0952-4622"",13,3,""213-231"",""LEONG, K. M. and ORTOLANI, A. and BURKS, K. D. and MELLEN, J. D. and SAVAGE, A."",""https://doi.org/10.1080/09524622.2003.9753499"","""",NA,"""","""",""<p>doi: 10.1080/09524622.2003.9753499</p>"",""10.1080/09524622.2003.9753499"","""","""",NA,8,983,0,8";;;;;;;;;;;;;;;;;;;;;;;
"19/12/2025 14:06:08,""rayyan-380414597"",""The vocal repertoire in northern white rhinoceros ceratotherium simum cottoni as recorded in the last surviving herd"",2008,""Ceratotherium simum cottoni"",""northern white rhinoceros"","""",""Perissodactyla"",""Rhinocerotidae"",""zoo"",""group"",""No"",""8"",NA,""384"",""Hand"",""Yes"",""11"",NA,"""",""No"",""No"","""","""","""",""1024"",""Hamming"",""87.5"","""",NA,NA,"""",""Avisoft-SASLab Pro"",""10"",""Some"",""duration"",""inter unit interval"",""each unit"","""",""peak frequency, min frequency, max frequency, bandwidth, Q25, Q50, Q75"","""","""",""time to peak"","""","""",""STATISTICA"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414597"",""THE VOCAL REPERTOIRE IN NORTHERN WHITE RHINOCEROS CERATOTHERIUM SIMUM COTTONI AS RECORDED IN THE LAST SURVIVING HERD"",2008,1,1,""bioacoustics"",""0952-4622"",18,1,""69-96"",""POLICHT, RICHARD and TOMÁŠOVÁ, KRISTINA and HOLEČKOVÁ, DANA and FRYNTA, DANIEL"",""https://doi.org/10.1080/09524622.2008.9753591"","""",NA,"""","""",""<p>doi: 10.1080/09524622.2008.9753591</p>"",""10.1080/09524622.2008.9753591"","""","""",NA,8,384,0,11";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"05/01/2026 10:41:46,""rayyan-380414614"",""Vocal repertoire, individual acoustic distinctiveness, and social networks in a group of captive Asian small-clawed otters (Aonyx cinerea)"",2014,""Aonyx cinerea"",""Asian small-clawed otter"","""",""Carnivora"",""Mustelidae"",""zoo"",""group"",""Yes"",""10"",NA,""1093"",""Hand"",""Yes"",""7"",NA,"""",""Yes"",""No"","""",""no"","""",""512"","""",""87.5"","""",NA,NA,"""",""Avisoft SASlab"",""3"",""No"",""duration"","""","""","""","""","""","""",""Fdom";" max F0"",""F0, dominant frequency"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414614"",""Vocal repertoire, individual acoustic distinctiveness, and social networks in a group of captive Asian small-clawed otters (Aonyx cinerea)"",2014,2,19,""journal of mammalogy"",""0022-2372"",95,1,""128-139"",""Lemasson, Alban and Mikus, Marie-Ana and Blois-Heulin, Catherine and Lodé, Thierry"",""https://doi.org/10.1644/12-MAMM-A-313.1"","""",NA,"""","""","""",""10.1644/12-MAMM-A-313.1"","""","""",NA,10,1093,0,7";;;;;;;;;;;;;;;;;;;;;;;;;;;
"29/12/2025 22:08:09,""rayyan-380414637"",""Small Mammals Ignore Common Rules: A Comparison of Vocal Repertoires and the Acoustics between Pup and Adult Piebald Shrews Diplomesodon pulchellum"",2015,""Diplomesodon pulchellum"",""piebald shrew"","""",""Rodentia"",""Soricidae"",""zoo"",""group, solitary"",""Yes"",""62"",NA,""1106"",""Hand"",""Yes"",""8"",1,"""",""No"",""No"","""",""yes"","""",""1024"",""Hamming"",""96.87"","""",NA,NA,"""",""Avisoft-SASLab Pro"",""8"",""Some"",""duration"","""","""","""",""peak amplitude, min frequency, max frequency, bandwidth, Q25, Q50, Q75"","""","""","""","""","""",""R"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414637"",""Small Mammals Ignore Common Rules: A Comparison of Vocal Repertoires and the Acoustics between Pup and Adult Piebald Shrews Diplomesodon pulchellum"",2015,2,1,""ethology"",""0179-1613"",121,2,""103-115"",""Volodin, Ilya A. and Zaytseva, Alexandra S. and Ilchenko, Olga G. and Volodina, Elena V."",""https://doi.org/10.1111/eth.12321"","""",NA,"""","""","""",""10.1111/eth.12321"",""age differences";communicative behaviour;discomfort calls;insectivora;ontogeny;"soricomorpha"","""",NA,62,1106,1,8";;;;;;;;;;;;;;;;;;;;;;;
"19/12/2025 07:59:13,""rayyan-380414642"",""Quantitative acoustic analysis of the vocal repertoire of the crowned lemur"",2007,""Eulemur coronatus"",""crowned lemur"","""",""Primates"",""Lemuridae"",""zoo"",""group"",""Unknown"",""37"",NA,""2425"",""Hand"",""Yes"",""10"",NA,"""",""No"",""No"","""",""yes"","""","""","""","""","""",NA,NA,"""",""SoundForge 7"",""10"",""Some"",""duration"","""","""","""","""","""","""",""mean F0"; cumulative variation F0; std F0; min F0; max F0; mean F1; mean F2; mean F3;" mean F4"",""F0, formants"","""",""not specified"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414642"",""Quantitative acoustic analysis of the vocal repertoire of the crowned lemur"",2007,10,1,""ethology ecology & evolution"",""0394-9370"",19,4,""323-343"",""Gamba, M. and Giacoma, C."",""https://doi.org/10.1080/08927014.2007.9522555"","""",NA,"""","""",""<p>doi: 10.1080/08927014.2007.9522555</p>"",""10.1080/08927014.2007.9522555"","""","""",NA,37,2425,0,10";;;;;;;;;;;;;;;;;;;;
"30/12/2025 19:09:28,""rayyan-380414657"",""The reliability of individual vocal signature varies across the bonobo's graded repertoire"",2020,""Pan paniscus"",""bonobo"","""",""Primates"",""Hominidae"",""zoo"",""group"",""No"",""21"",NA,""1850"",""Hand"",""No"",""5"",NA,"""",""Yes"",""No"","""",""yes"","""",""512"",""Hanning/Hann"",""50"","""",NA,NA,"""",""Raven Pro"",""16"",""No"",""duration"","""","""","""","""",""max/peak frequency, center frequency, 1st quartile frequency, 3rd quartile frequency, 1st quartile time, 3rd quartile time, max time"","""",""max F0"; start F0; end F0; time to F0; ascending slope; descending slope; Slope: F0-Start to Midpoint;" Slope: F0-Midpoint to End"","""","""",""R"",""pDFA"",""features"","""",""No"","""",""x"",""rayyan-380414657"",""The reliability of individual vocal signature varies across the bonobo's graded repertoire"",2020,11,1,""animal behaviour"",""0003-3472"",169,NA,""9-21"",""Keenan, Sumir and Mathevon, Nicolas and Stevens, Jeroen M.G. and Nicolè, Florence and Zuberbühler, Klaus and Guéry, Jean-Pascal and Levréro, Florence"",""https://www.sciencedirect.com/science/article/pii/S0003347220302670"","""",NA,"""","""","""",""10.1016/j.anbehav.2020.08.024"",""acoustic grading";bonobo;identity information;"individual vocal signature"","""",NA,21,1850,0,5";;;;;;;;;;;;;;;;;;
"21/12/2025 20:11:11,""rayyan-380414662"",""Classification of captive North American river otters"",2014,""Lontra canadensis"",""North American river otter"","""",""Carnivora"",""Mustelidae"",""zoo"",""group, solitary"",""Yes"",""10"",NA,""2726"",""Hand"",""Yes"",""12"",1,"""",""Yes"",""No"",""4 main types with 7 sub types (for 11 types total in adults)"",""yes"","""","""","""","""","""",NA,NA,"""",""Raven Pro"",""10"",""No"",""duration"","""","""","""","""",""average power, max/peak frequency, max/peak power, center frequency"","""",""max freq"; min freq; bandwidth freq; mean freq;" number of harmonics"",""formants"","""",""STATISTICA"",""DFA"",""features"","""",""Yes"",""CC BY 3.0"",""x"",""rayyan-380414662"",""Classification of Captive North American River Otters (Lontra canadensis) Vocal Repertoires: Individual Variations, and Age Class Comparisons"",2014,NA,NA,""animal behavior and cognition"","""",NA,NA,"""",""Almonte, C"","""","""",NA,"""","""","""","""","""","""",NA,10,2726,1,12";;;;;;;;;;;;;;;;;;;;;;;;
"24/12/2025 17:10:16,""rayyan-380414673"",""Automatic classification and speaker identification of African elephant (Loxodonta africana) vocalizations"",2005,""Loxodonta africana"",""African elephant"","""",""Proboscidea"",""Elephantidae"",""zoo"",""group"",""No"",""7"",NA,""74"",""Hand, Automated"",""Yes"",""5"",NA,"""",""No"",""No"","""",""yes"",""MFCC"","""",""Hamming"",""33.33"","""",NA,NA,"""",""Real-Time Spectrogram software"","""","""","""","""","""","""","""","""","""","""","""","""",""HTK 3.1.1"",""Markov Model"",""spectrogram"","""",""No"","""",""x"",""rayyan-380414673"",""Automatic classification and speaker identification of African elephant (Loxodonta africana) vocalizations"",2005,1,31,""the journal of the acoustical society of america"",""0001-4966"",117,2,""956-963"",""Clemins, Patrick J. and Johnson, Michael T. and Leong, Kirsten M. and Savage, Anne"",""https://doi.org/10.1121/1.1847850"","""",NA,"""","""","""",""10.1121/1.1847850"","""","""",NA,7,74,0,5";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"27/10/2025 23:04:26,""rayyan-305067467"",""Syllable acoustics, temporal patterns, and call composition vary with behavioral context in Mexican free-tailed bats."",2008,""Tadarida brasiliensis"",""Mexican free-tailed bat"","""",""Chiroptera"",""Molossidae"",""private"",""group"",""Unknown"","""",NA,""4149"",""Hand"","""",""16"",NA,"""",""No"",""No"",""private colony it seems";" number of animlals is approx 60"",""yes"","""","""","""","""",""Yes"",1000,1e+05,""no details about FFts"",""Avisoft-SASLab Pro"",""6"",""Some"",""duration"","""","""","""",""peak frequency, min frequency, max frequency"","""","""",""F0 start, F0 end"",""F0"","""",""SAS"",""DFA, MANOVA"",""features"","""",""No"","""",""x"",""rayyan-305067467"",""Syllable acoustics, temporal patterns, and call composition vary with behavioral context in Mexican free-tailed bats."",2008,9,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",124,3,""1838-48"",""Bohn KM and Schmidt-French B and Ma ST and Pollak GD"",""https://pubmed.ncbi.nlm.nih.gov/19045674/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.2953314"",""Acoustics";Aggression;Animals;Animals, Newborn;*Behavior, Animal;Chiroptera/*physiology;*Cues;Feeding Behavior;Female;Flight, Animal;Handling, Psychological;Humans;Male;Maternal Behavior;*Pattern Recognition, Physiological;Sexual Behavior, Animal;Sound Spectrography;Time Factors;"*Vocalization, Animal"",""19045674"",""PMC2676615"",NA,NA,4149,0,16";;;;;;;;;
"12/01/2026 21:36:16,""rayyan-380414723"",""DeepSqueak: a deep learning-based system for detection and analysis of ultrasonic vocalizations"",2019,""Mus musculus"",""mouse"",""B6D2F1"",""Rodentia"",""Muridae"","""","""","""","""",NA,"""",""Automated"",""No"","""",NA,"""",""No"",""No"",""Uses published dataset"","""","""","""","""","""","""",NA,NA,""not reported for the tested dataset"",""DeepSqueak"",""4"",""No"",""duration"","""","""","""","""","""","""",""frequency (each call is reduced 10 segments, shape is defined as the first derivative of the contour at 10 segments,"","""","""",""DeepSqueak"",""K-means clustering, regional convolutional neural network"",""features"","""",""No"","""",""x"",""rayyan-380414723"",""DeepSqueak: a deep learning-based system for detection and analysis of ultrasonic vocalizations"",2019,4,1,""neuropsychopharmacology"",""1740-634X"",44,5,""859-868"",""Coffey, Kevin R. and Marx, Ruby E. and Neumaier, John F."",""https://doi.org/10.1038/s41386-018-0303-6"","""",NA,"""","""","""",""10.1038/s41386-018-0303-6"","""","""",NA,NA,NA,0,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;
